name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
대합류,어패류 및 기타 수산물,,125.5,,1.0,7.39,17.64,1.82,4,원재료성식품
대합죽,죽 및 스프류,229.5,121.0,211.0,0.14,19.19,2.85,3.19,2,음식
대황,해조류,,84.0,782.0,54.5,35.98,4.91,0.39,2,원재료성식품
더덕,채소류,,86.0,1.0,5.01,18.17,2.23,0.74,5,원재료성식품
더덕구이,구이류,100.0,161.0,555.0,11.26,31.1,3.1,3.34,3,음식
더덕무침,생채·무침류,56.4,111.0,943.5,6.57,20.64,2.3,2.31,4,음식
더덕장아찌,장아찌·절임류,70.0,129.5,2699.5,10.11,23.2,3.23,2.98,2,음식
덩어리엿,당류,275.0,370.5,19.5,42.01,91.89,0.8,0.93,6,가공식품
덮밥,밥류,440.0,135.5,241.5,0.63,18.73,6.3,3.34,10,음식
도가니탕,국 및 탕류,500.0,40.0,150.0,0.0,0.82,8.35,0.33,1,음식
도넛,빵 및 과자류,70.0,400.0,308.0,16.95,51.92,5.56,20.0,285,음식
도다리구이,구이류,79.2,153.0,1039.0,0.0,0.71,23.7,5.5,1,음식
도다리류,어패류 및 기타 수산물,,86.0,58.0,0.47,0.02,17.88,0.36,3,원재료성식품
도도바리류,어패류 및 기타 수산물,,95.0,,0.48,0.48,19.42,1.2,1,원재료성식품
도라지,채소류,,53.5,3.5,1.48,12.21,2.17,0.73,6,원재료성식품
도라지나물,나물·숙채류,88.3,39.0,333.0,0.45,5.05,0.75,2.09,4,음식
도라지나물무침,나물·숙채류,50.0,130.0,411.0,0.9,13.12,2.48,7.52,1,음식
도라지생채,생채·무침류,69.9,77.5,371.5,5.17,13.49,2.0,0.87,12,음식
도라지차,차류,,22.0,7.0,,5.1,0.3,,1,원재료성식품
도라지튀김,튀김류,64.4,170.0,466.0,1.01,17.98,5.45,8.24,2,음식
도루묵,어패류 및 기타 수산물,,213.0,1200.0,0.45,0.33,30.42,7.2,2,원재료성식품
도루묵조림,조림류,123.2,102.0,255.0,1.61,5.62,11.25,3.08,2,음식
도루묵찌개,찌개 및 전골류,494.0,63.0,62.0,1.3,4.04,6.8,2.31,1,음식
