name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
매실장아찌,장아찌·절임류,30.0,154.0,2427.0,23.01,34.57,1.46,1.1,2,음식
매운 어묵볶음,볶음류,100.0,90.0,397.0,2.38,11.02,5.1,2.93,4,음식
매운탕,찌개 및 전골류,600.0,39.5,281.5,0.5,2.42,4.81,1.23,16,음식
매작과,빵 및 과자류,30.0,413.0,99.0,16.42,66.11,7.51,13.15,1,음식
매퉁이류,어패류 및 기타 수산물,,96.5,,0.09,0.09,20.83,1.07,4,원재료성식품
맥주,주류,500.0,46.0,1.0,0.0,2.9,0.23,0.01,9,가공식품
맵쌀 국수,곡류,,132.0,23.0,0.0,28.37,2.59,0.29,1,원재료성식품
머루,과일류,,81.0,0.0,9.66,18.64,1.54,1.1,4,원재료성식품
머루씨,견과 및 종실류,,282.0,3.0,,54.0,6.3,4.8,1,원재료성식품
머위,채소류,,28.0,5.0,0.99,5.2,2.44,0.44,5,원재료성식품
머위나물,나물·숙채류,60.0,30.0,721.0,0.19,3.05,2.2,1.42,3,음식
머위나물무침,나물·숙채류,100.0,85.0,452.0,0.44,2.49,1.62,7.66,1,음식
머위나물볶음,볶음류,150.0,72.0,479.0,1.2,5.07,2.33,4.67,1,음식
머위대나물무침,나물·숙채류,50.0,58.0,363.0,0.34,4.76,3.96,2.56,1,음식
머핀,빵 및 과자류,130.0,430.5,210.0,27.5,55.81,6.2,24.9,60,음식
먹장어,어패류 및 기타 수산물,,129.0,,0.4,0.4,16.9,6.0,1,원재료성식품
멍게류,어패류 및 기타 수산물,,55.0,561.0,3.7,2.5,6.7,1.24,13,원재료성식품
메기,어패류 및 기타 수산물,,107.0,55.0,0.1,0.11,17.03,3.87,6,원재료성식품
메기 매운탕,찌개 및 전골류,760.0,59.0,264.0,0.69,7.39,4.0,1.46,1,음식
메기찜,찜류,528.2,71.0,150.0,0.77,5.37,7.3,2.33,1,음식
메뚜기,기타,,125.0,49.0,0.0,1.86,24.29,2.26,1,원재료성식품
메밀,곡류,,363.0,1.0,0.3,67.84,12.96,3.29,3,원재료성식품
메밀 국수,곡류,,207.5,246.5,0.0,43.44,5.94,0.7,4,원재료성식품
메밀 냉면,곡류,,250.5,348.0,0.0,51.19,7.48,1.01,2,원재료성식품
메밀국수,면 및 만두류,350.0,63.0,194.0,0.0,12.06,3.14,0.29,1,음식
메밀국수/냉면국수,면류,800.0,244.0,415.0,1.67,52.08,6.67,1.0,1099,가공식품
메밀묵,곡류,,212.5,67.0,0.15,44.58,4.72,1.23,2,원재료성식품
메밀묵 무침,생채·무침류,144.5,65.0,249.0,1.46,12.05,1.6,1.27,2,음식
메밀묵국,국 및 탕류,103.5,63.0,240.0,1.42,11.64,1.55,1.25,4,음식
메밀소바,면 및 만두류,657.0,116.0,282.0,2.25,19.7,4.08,2.27,2,음식
메밀전,전·적 및 부침류,180.0,161.0,145.0,0.3,34.79,4.02,0.64,1,음식
메주,장류,544.0,425.0,4.0,1.0,32.0,39.0,15.87,42,가공식품
메추리고기,육류,,194.0,35.0,,0.1,20.5,12.9,1,원재료성식품
메추리알,난류,,150.5,82.5,0.0,1.52,12.64,9.57,6,원재료성식품
메추리알 돼지고기장조림,조림류,125.0,124.5,307.0,1.65,4.69,12.4,5.79,4,음식
메추리알 어묵조림,조림류,67.2,156.0,805.0,7.23,15.39,9.3,6.19,3,음식
메추리알장조림,조림류,64.0,151.0,978.0,2.55,8.89,11.3,6.79,4,음식
멕시컨샐러드,생채·무침류,166.1,96.0,316.0,2.2,4.03,4.6,7.07,3,음식
멘보샤,튀김류,100.0,284.0,696.0,1.7,17.96,8.65,21.6,3,음식
멜론,과일류,,38.0,13.0,8.08,9.6,0.7,0.1,3,원재료성식품
멥쌀,곡류,,362.0,2.0,0.83,77.21,7.13,1.88,81,원재료성식품
멥쌀 국수,곡류,,340.0,1964.0,,72.6,9.1,1.5,1,원재료성식품
멥쌀밥,곡류,,159.5,1.0,0.2,35.31,2.83,0.33,24,원재료성식품
멧돼지고기,육류,,220.0,50.0,,0.25,20.15,15.25,2,원재료성식품
면실유,유지류,,883.0,0.0,,0.0,0.0,100.0,1,원재료성식품
멸치,어패류 및 기타 수산물,,175.0,1455.0,1.7,0.37,20.8,5.89,28,원재료성식품
멸치 미역국,국 및 탕류,320.0,9.0,375.0,0.0,0.71,1.1,0.38,1,음식
멸치볶음,볶음류,50.0,172.0,769.0,2.31,7.46,14.9,10.4,14,음식
멸치볶음(멸치만),볶음류,80.0,114.0,770.0,1.72,5.15,14.9,3.41,1,음식
멸치젓,젓갈류,5.0,90.0,6667.0,0.6,7.4,11.4,1.6,1,음식
멸치조림,조림류,60.0,150.0,1121.0,3.2,6.5,15.0,6.69,5,음식
명란젓,젓갈류,100.0,147.0,2044.0,0.0,3.98,17.96,6.54,1,음식
명란찌개,찌개 및 전골류,263.3,27.0,367.0,0.84,2.74,3.1,0.58,1,음식
명란찜,찜류,125.2,61.0,1130.0,1.28,3.1,7.1,2.24,1,음식
명태,어패류 및 기타 수산물,,193.0,441.5,0.0,0.3,37.4,1.75,19,원재료성식품
명태 매운탕,찌개 및 전골류,625.0,49.0,58.0,0.79,3.15,7.1,1.03,1,음식
모과,과일류,,78.0,2.0,,20.0,0.7,0.4,1,원재료성식품
모닝빵,빵 및 과자류,70.0,382.5,334.5,13.26,50.0,8.68,16.86,26,음식
모듬 김밥,밥류,400.0,113.0,184.0,0.7,17.49,4.2,2.75,1,음식
모듬 초밥,밥류,245.0,188.5,369.5,2.38,28.77,9.9,3.04,2,음식
모듬 콩조림,조림류,15.0,181.0,321.0,3.85,15.38,11.1,9.11,1,음식
모듬배추나물,나물·숙채류,85.0,32.0,296.0,1.36,4.0,1.7,1.27,4,음식
모듬버섯볶음,볶음류,100.0,69.0,430.0,2.0,6.82,3.0,4.56,4,음식
모듬찰떡,빵 및 과자류,100.0,225.5,195.5,3.05,42.43,6.54,3.28,2,음식
모듬채소전,전·적 및 부침류,110.0,154.0,173.0,1.21,21.32,3.4,5.65,1,음식
모듬채소전골,찌개 및 전골류,450.0,20.0,145.0,0.61,2.1,1.8,0.6,1,음식
모듬회,수·조·어·육류,150.0,133.0,493.0,2.44,5.15,22.5,2.31,1,음식
모래무지,어패류 및 기타 수산물,,77.0,,0.0,0.0,15.7,1.1,1,원재료성식품
모링가,채소류,,66.0,6.0,2.15,12.43,4.21,1.38,1,원재료성식품
모밀국수,면 및 만두류,284.1,126.0,349.0,1.8,25.31,4.8,0.42,4,음식
모시풀,채소류,,51.0,2.0,0.0,8.13,6.09,1.02,3,원재료성식품
모싯잎송편,빵 및 과자류,100.0,190.0,262.0,3.18,40.29,5.65,0.66,3,음식
모유,우유류,,61.0,15.0,6.4,7.2,1.1,3.5,1,원재료성식품
모자반류,해조류,,29.5,1339.0,5.15,9.27,3.06,0.41,12,원재료성식품
모조치즈,식용유지류,100.0,277.0,827.0,0.0,20.0,0.0,21.0,11,가공식품
모카빵,빵 및 과자류,150.0,339.0,354.0,12.53,57.96,8.55,8.05,1,음식
목이버섯,버섯류,,23.0,10.5,0.15,9.29,1.17,0.49,6,원재료성식품
목화씨,견과 및 종실류,,506.0,25.0,,21.9,32.59,36.29,1,원재료성식품
몸국,국 및 탕류,650.0,22.0,119.0,0.4,1.54,2.9,0.65,1,음식
몽치다래,어패류 및 기타 수산물,,159.0,,0.5,0.5,24.08,5.9,1,원재료성식품
무,채소류,,21.0,12.5,2.59,4.62,0.76,0.15,2,원재료성식품
무 된장국,국 및 탕류,239.1,18.0,254.0,0.71,2.11,1.6,0.41,4,음식
무 북어국,국 및 탕류,300.0,27.0,156.0,0.38,1.05,4.1,0.7,4,음식
무 어묵조림,조림류,86.8,110.5,622.5,4.29,14.75,6.3,3.06,2,음식
무 절임(치킨무),채소류,,22.0,219.0,3.54,4.89,0.44,0.21,1,원재료성식품
무 파래무침,생채·무침류,130.0,23.0,221.0,2.62,4.86,1.1,0.38,1,음식
무국,국 및 탕류,270.0,24.0,177.0,0.44,1.63,1.9,1.0,23,음식
무국물,국 및 탕류,,3.0,2.0,0.36,0.55,0.16,0.0,1,음식
무나물,나물·숙채류,56.6,32.0,429.5,1.44,3.77,0.7,1.68,4,음식
무나물무침,나물·숙채류,50.0,21.0,352.0,3.3,3.64,0.62,0.46,1,음식
무말랭이,채소류,,165.5,123.5,11.77,36.97,7.46,0.33,2,원재료성식품
무말랭이무침,생채·무침류,85.0,124.0,317.0,6.5,21.13,3.3,1.2,9,음식
무말랭이장아찌,장아찌·절임류,94.2,117.0,1287.0,6.61,18.34,4.1,3.23,1,음식
무밥,밥류,246.2,177.0,198.0,0.79,36.68,3.7,1.06,1,음식
무생채,생채·무침류,85.0,40.0,455.0,4.04,7.33,1.2,0.8,15,음식
무생채(무만),생채·무침류,120.0,30.0,249.0,2.57,5.77,1.03,0.56,1,음식
무숙장아찌,장아찌·절임류,94.0,93.0,1391.0,2.36,4.78,3.7,6.44,1,음식
무순,채소류,,20.0,15.0,0.67,1.82,1.89,1.01,1,원재료성식품
무시래기,채소류,,138.0,51.5,4.89,25.38,10.13,2.71,2,원재료성식품
무장아찌,장아찌·절임류,22.9,98.0,1646.0,8.53,15.51,1.98,3.36,2,음식
무조림,조림류,79.3,48.0,1035.0,2.81,8.57,2.4,0.74,5,음식
무지개떡,빵 및 과자류,100.0,229.0,277.0,8.99,53.01,3.53,0.31,1,음식
무짠지,장아찌·절임류,50.0,11.0,2382.0,1.58,1.98,0.54,0.12,1,음식
무청,채소류,,22.5,41.5,0.82,3.59,2.07,0.56,2,원재료성식품
무청나물,나물·숙채류,100.0,80.0,367.0,0.32,6.04,2.8,5.44,1,음식
무초절임(치킨무),장아찌·절임류,130.0,17.0,189.0,1.75,3.05,0.52,0.3,1,음식
무화과,과일류,,153.0,4.5,11.28,38.54,2.79,0.51,4,원재료성식품
묵,두부류 또는 묵류,500.0,37.0,27.5,0.0,8.56,0.08,0.02,300,가공식품
묵국,국 및 탕류,400.0,22.0,238.0,0.28,3.57,1.0,0.4,1,음식
묵말이,국 및 탕류,1300.0,36.0,247.0,0.48,6.9,0.52,0.65,1,음식
묵무침,생채·무침류,200.0,60.0,290.0,0.72,10.38,0.93,2.08,3,음식
묵밥,밥류,600.0,69.5,93.0,0.52,13.02,2.6,0.74,4,음식
문어류,어패류 및 기타 수산물,,76.5,260.0,0.24,0.7,16.3,0.71,32,원재료성식품
문어무침,생채·무침류,91.2,66.5,342.5,1.68,5.12,7.6,2.07,2,음식
문어볶음,볶음류,211.7,77.5,363.5,4.54,7.08,8.44,1.82,2,음식
물김치,김치류,400.0,5.0,237.0,0.35,0.75,0.31,0.08,1,음식
물냉면,면 및 만두류,578.0,89.0,369.0,0.73,15.31,4.2,0.84,6,음식
물냉이,채소류,,23.0,28.0,,3.7,3.5,0.1,1,원재료성식품
물만두,면 및 만두류,307.5,97.5,93.0,0.06,13.04,6.6,2.42,4,음식
물메기,어패류 및 기타 수산물,,78.0,,0.1,0.1,16.4,0.9,1,원재료성식품
물쑥,채소류,,41.5,7.0,,8.65,3.65,0.2,2,원재료성식품
물엿,당류,330.0,310.0,4.0,44.0,76.0,0.01,0.0,72,가공식품
물치다래,어패류 및 기타 수산물,,168.0,,0.1,0.1,23.4,7.3,1,원재료성식품
물회,생채·무침류,700.0,72.0,347.0,2.86,7.9,4.91,1.54,3,음식
미강유(현미유),식용유지류,500.0,900.0,0.0,0.0,0.0,0.0,100.0,69,가공식품
미꾸라지튀김,튀김류,100.0,387.0,324.0,0.3,28.85,10.89,25.39,1,음식
미나리,채소류,,19.5,6.0,1.12,3.77,1.75,0.22,8,원재료성식품
미나리 초무침,생채·무침류,36.5,49.0,575.0,3.76,7.89,2.1,1.76,3,음식
미나리나물,나물·숙채류,50.0,25.0,160.5,1.31,3.83,1.2,0.78,8,음식
미나리무침,생채·무침류,95.0,20.0,140.5,1.96,3.55,0.95,0.68,6,음식
미나리전,전·적 및 부침류,150.0,151.0,166.0,1.16,22.82,3.49,5.08,1,음식
미더덕류,어패류 및 기타 수산물,,46.5,558.0,3.2,2.38,5.62,1.01,4,원재료성식품
미더덕찜,찜류,118.9,77.0,391.0,1.18,8.05,7.7,1.82,1,음식
미소된장국,국 및 탕류,150.0,23.0,302.0,0.38,2.04,1.85,0.92,5,음식
미숫가루,음료 및 차류,300.0,80.5,22.0,7.54,10.42,2.49,2.27,14,음식
미숫가루(선식)음료,음료 및 차류,100.0,128.0,1.0,12.67,27.73,2.9,1.1,5,음식
미숫가루/선식,즉석식품류,400.0,403.0,94.0,7.27,72.0,14.0,5.5,365,가공식품
미역 된장국,국 및 탕류,225.0,13.5,295.5,0.28,1.62,1.2,0.49,2,음식
미역 오이무침,생채·무침류,100.0,61.0,817.0,6.34,12.32,1.8,1.75,3,음식
미역국,국 및 탕류,240.2,11.0,279.0,0.01,0.88,1.45,0.46,23,음식
미역냉국,국 및 탕류,300.0,11.0,290.0,1.85,2.7,0.5,0.11,5,음식
미역류,해조류,,16.5,1038.0,3.8,4.96,2.42,0.29,26,원재료성식품
미역줄기볶음,볶음류,80.0,51.0,648.0,0.58,3.65,1.03,4.13,9,음식
미역초무침,생채·무침류,100.0,35.0,452.0,3.32,6.85,1.48,0.71,3,음식
미역튀각,튀김류,32.6,403.0,4605.0,7.31,24.73,13.82,32.06,2,음식
미음,죽 및 스프류,100.0,19.0,0.0,0.0,4.6,0.3,0.1,3,음식
미트 스파게티,면 및 만두류,350.0,109.0,136.0,2.82,18.58,4.3,1.9,4,음식
미트볼조림,조림류,105.2,141.0,316.0,5.8,12.22,5.45,7.57,6,음식
민들레,채소류,,29.5,1.0,0.0,5.61,2.31,0.47,2,원재료성식품
민들레무침,나물·숙채류,50.0,27.0,244.0,1.61,4.56,1.2,0.72,1,음식
민들레잎무침,생채·무침류,90.0,81.0,248.0,8.16,12.32,2.69,2.33,1,음식
민들레차,차류,,0.0,1.0,0.05,0.05,0.01,0.0,1,원재료성식품
민어,어패류 및 기타 수산물,,111.0,140.0,17.83,0.0,23.4,1.21,7,원재료성식품
민어 매운탕,찌개 및 전골류,450.0,35.0,140.0,0.92,2.98,4.5,0.79,1,음식
민어구이,구이류,100.0,106.0,703.0,0.0,0.38,12.6,5.53,1,음식
민태,어패류 및 기타 수산물,,88.0,,0.0,0.0,15.2,2.5,1,원재료성식품
민트,조미료류,,294.0,28.0,,56.2,17.5,6.1,1,원재료성식품
밀,곡류,,334.0,3.0,0.0,73.98,12.98,1.2,10,원재료성식품
밀가루,농산가공식품류,1000.0,355.0,0.0,1.0,73.0,11.0,1.4,297,가공식품
밀면,면 및 만두류,100.0,71.0,303.0,3.68,14.19,2.46,0.5,1,음식
밀크쉐이크,유제품류 및 빙과류,100.0,113.0,51.0,16.57,17.01,2.43,3.88,1,음식
밀크티,음료 및 차류,100.0,76.0,18.0,7.32,9.61,1.23,2.64,5,음식
밀크티/버블티,음료 및 차류,,67.0,22.0,7.4,8.75,1.27,1.72,328,음식
밀푀유나베,찌개 및 전골류,1564.0,44.0,288.5,1.75,3.17,3.59,1.4,4,음식
바게트,빵 및 과자류,,323.5,455.0,5.74,45.96,7.5,10.19,54,음식
바게트/치아바타,과자류·빵류 또는 떡류,185.0,270.0,400.0,2.86,45.5,8.57,5.0,1021,가공식품
바나나,과일류,,195.5,0.5,34.15,49.25,2.46,0.3,2,원재료성식품
바리류,어패류 및 기타 수산물,,106.0,67.0,0.1,0.1,19.67,1.9,9,원재료성식품
바셀라,채소류,,11.5,8.0,,2.9,0.8,0.2,2,원재료성식품
바지락,어패류 및 기타 수산물,,101.0,376.5,1.12,6.76,14.29,1.64,14,원재료성식품
바지락 된장국,국 및 탕류,300.0,16.0,130.0,0.41,1.78,1.6,0.35,1,음식
바지락 미역국,국 및 탕류,300.0,13.0,304.0,0.1,1.22,1.9,0.28,4,음식
바지락 수제비,면 및 만두류,1036.0,37.0,171.0,0.2,6.3,1.5,0.47,2,음식
바지락국,국 및 탕류,203.3,17.0,225.0,0.11,0.74,2.2,0.52,3,음식
바지락찜,찜류,146.8,83.0,830.0,4.59,9.15,8.0,1.71,2,음식
바질,채소류,,33.0,2.0,0.58,5.73,2.62,0.7,2,원재료성식품
박,채소류,,26.5,5.5,,6.6,0.75,0.1,2,원재료성식품
박고지,채소류,,268.0,14.0,,69.0,7.6,0.4,1,원재료성식품
박대,어패류 및 기타 수산물,,115.0,1115.5,0.6,0.6,21.4,1.4,3,원재료성식품
박쥐나무,채소류,,100.0,27.0,,20.7,6.7,1.2,1,원재료성식품
반제품/생지,과자류·빵류 또는 떡류,280.0,352.5,260.0,12.0,45.63,6.5,16.0,1998,가공식품
반지,어패류 및 기타 수산물,,128.0,,0.16,0.16,17.16,4.5,3,원재료성식품
반찬,즉석식품류,246.0,137.0,368.0,3.04,11.5,6.79,4.85,3172,가공식품
발효유,유가공품류,220.0,74.0,37.0,8.5,11.08,2.6,2.04,573,가공식품
발효음료,음료류,330.0,47.0,2.0,7.17,11.0,0.12,0.0,720,가공식품
밤,견과 및 종실류,,161.5,1.0,7.18,35.09,3.25,0.79,10,원재료성식품
밤밥,밥류,209.8,152.0,3.0,0.42,32.65,3.4,0.23,2,음식
밤버섯,버섯류,,17.0,,,3.5,2.9,0.9,1,원재료성식품
밥류,즉석식품류,250.0,160.0,300.0,1.69,26.0,4.73,3.54,7123,가공식품
방가지똥,채소류,,46.0,5.0,,10.3,2.5,0.4,1,원재료성식품
방어류,어패류 및 기타 수산물,,142.0,40.0,0.4,0.4,22.5,5.64,5,원재료성식품
방울다다기양배추,채소류,,44.0,13.0,3.3,8.74,3.76,0.35,3,원재료성식품
방풍나물,나물·숙채류,50.0,34.0,143.0,0.97,6.04,1.5,0.79,4,음식
방풍나물무침,나물·숙채류,80.0,76.0,267.0,2.91,10.74,4.39,1.73,1,음식
배,과일류,,45.0,0.0,8.3,12.24,0.29,0.04,5,원재료성식품
배 과즙,과일류,,52.0,35.0,,13.0,0.3,0.5,1,원재료성식품
배암차즈기(곰보배추),채소류,,25.0,7.0,1.44,4.5,1.73,0.62,1,원재료성식품
배초향(방아),채소류,,55.0,2.0,1.52,11.13,4.87,0.46,1,원재료성식품
배추,채소류,,17.0,9.0,1.99,3.67,1.39,0.1,21,원재료성식품
배추 겉절이,생채·무침류,102.5,30.0,731.5,2.28,4.98,1.5,0.88,4,음식
배추 된장국,국 및 탕류,260.0,25.0,246.0,0.58,1.92,2.0,0.51,9,음식
배추겉절이,생채·무침류,100.0,40.0,581.0,3.04,6.51,1.95,0.92,3,음식
배추국,국 및 탕류,165.8,16.0,205.0,0.37,1.14,1.3,0.41,7,음식
배추김치,김치류,100.0,38.0,578.5,2.72,6.29,1.92,0.52,4,음식
배추나물,나물·숙채류,86.7,38.0,292.0,1.85,4.76,2.01,1.55,9,음식
배추숙주나물,나물·숙채류,44.0,22.0,127.0,1.33,3.58,1.5,0.62,1,음식
배추우거지,채소류,,18.0,7.0,1.1,3.69,1.31,0.17,2,원재료성식품
배추전,전·적 및 부침류,96.5,110.0,545.0,1.71,10.34,3.25,6.01,4,음식
백김치,김치류,100.0,16.0,395.0,1.04,3.0,0.95,0.07,1,음식
백모근,채소류,,337.0,115.0,,77.0,9.0,2.0,1,원재료성식품
백설기,빵 및 과자류,100.0,229.0,223.0,2.07,50.28,3.78,1.45,3,음식
백연,어패류 및 기타 수산물,,89.0,,0.3,0.3,19.0,0.8,1,원재료성식품
백합,채소류,,118.0,2.0,0.44,24.91,3.34,1.52,1,원재료성식품
백합류,어패류 및 기타 수산물,,77.0,630.0,3.05,3.19,11.7,1.0,7,원재료성식품
백합죽,죽 및 스프류,700.0,65.0,142.0,0.0,12.1,2.36,0.8,1,음식
백향과(패션프루트),과일류,,100.0,1.0,8.58,22.58,1.68,1.55,1,원재료성식품
백향과(패션프루트) 주스,과일류,,60.0,6.0,13.4,14.45,0.67,0.18,3,원재료성식품
밴댕이,어패류 및 기타 수산물,,231.5,1070.0,0.1,0.15,31.21,7.4,6,원재료성식품
밴댕이무침,생채·무침류,400.0,150.0,257.0,6.75,11.5,7.45,8.25,1,음식
뱅쇼,음료 및 차류,,40.5,2.5,7.27,,0.06,,34,음식
뱅어,어패류 및 기타 수산물,,365.0,1128.5,0.15,1.0,60.4,8.93,5,원재료성식품
뱅어포구이,구이류,56.0,325.5,1516.0,11.42,21.59,32.78,12.02,2,음식
뱅어포무침,생채·무침류,21.0,391.0,1199.0,5.22,10.91,46.0,16.99,2,음식
뱅어포튀김,튀김류,10.2,732.0,414.0,0.0,34.04,41.2,45.09,1,음식
버거,빵 및 과자류,,250.0,448.0,4.17,20.83,11.11,13.75,295,음식
버들송이버섯,버섯류,,183.0,7.0,,61.6,14.3,2.7,3,원재료성식품
버섯 덮밥,밥류,572.0,101.0,63.0,0.54,18.47,2.6,1.63,2,음식
버섯 매운탕,찌개 및 전골류,800.0,45.0,160.0,1.46,6.93,2.4,1.36,2,음식
버섯 샤브샤브,찌개 및 전골류,488.0,27.0,143.0,0.48,2.46,2.0,1.36,1,음식
버섯 잡채,볶음류,200.0,149.0,207.0,1.94,6.28,4.8,12.22,1,음식
버섯구이,구이류,80.0,68.0,477.5,2.33,8.22,4.72,1.79,2,음식
버섯구이표고버섯,구이류,80.0,100.0,435.0,1.4,18.14,4.34,1.06,1,음식
버섯국,국 및 탕류,320.0,42.0,161.0,0.5,2.71,3.3,2.43,1,음식
버섯무침,생채·무침류,150.0,59.0,311.0,0.09,3.44,2.74,3.77,1,음식
버섯볶음,볶음류,135.0,94.5,363.0,2.74,8.31,2.98,5.87,4,음식
버섯전,전·적 및 부침류,68.0,172.5,459.0,0.82,16.64,6.7,8.64,6,음식
버섯전골,찌개 및 전골류,350.0,38.0,211.0,0.73,3.88,2.6,1.81,6,음식
버섯조림,조림류,105.0,46.5,281.0,1.75,6.53,3.21,1.37,2,음식
버섯찌개,찌개 및 전골류,270.0,42.0,323.0,1.6,4.46,3.68,1.32,5,음식
버찌,과일류,,60.0,1.0,,14.9,1.7,0.1,1,원재료성식품
버터,유가공품류,454.0,745.0,10.0,0.6,0.7,0.6,82.0,71,가공식품
버터빵,빵 및 과자류,,371.0,420.5,7.94,48.0,8.04,11.0,10,음식
버터크림빵,빵 및 과자류,60.0,383.0,319.0,11.99,46.23,8.18,18.41,1,음식
번,빵 및 과자류,,362.0,306.0,16.15,54.02,7.41,12.63,41,음식
번데기,기타,,175.0,7.0,0.0,2.83,17.46,10.43,2,원재료성식품
번데기탕,찌개 및 전골류,200.0,23.0,109.0,0.18,0.42,2.2,1.48,1,음식
베도라치류,어패류 및 기타 수산물,,105.0,,0.68,0.66,19.34,1.6,5,원재료성식품
베로치,어패류 및 기타 수산물,,86.0,,0.0,0.0,19.5,0.4,1,원재료성식품
베이글,빵 및 과자류,120.0,284.0,445.5,7.18,47.62,9.17,7.69,136,음식
베이컨,식육가공품 및 포장육,500.0,275.0,670.0,1.0,2.0,16.0,21.0,183,가공식품
베이컨떡말이구이,구이류,95.3,239.5,582.0,3.76,29.92,6.3,10.58,4,음식
베이컨채소볶음,볶음류,129.0,142.0,241.0,4.78,10.06,6.3,8.81,2,음식
벤자리류,어패류 및 기타 수산물,,108.5,,0.25,0.25,17.15,3.7,2,원재료성식품
병아리콩,두류,,278.0,2.5,0.71,46.19,13.22,4.43,2,원재료성식품
병어,어패류 및 기타 수산물,,135.5,121.0,0.29,0.67,17.2,4.46,16,원재료성식품
병어구이,구이류,49.7,244.0,1559.0,0.0,0.45,21.4,16.23,1,음식
병어조림,조림류,145.5,92.0,577.0,0.48,4.15,10.13,3.78,2,음식
병어찌개,찌개 및 전골류,298.8,54.0,485.0,1.08,3.4,5.3,2.06,1,음식
보구치,어패류 및 기타 수산물,,107.5,141.0,0.3,0.0,19.3,2.46,50,원재료성식품
보리,곡류,,346.5,7.0,0.72,75.06,9.74,1.71,26,원재료성식품
보리멸류,어패류 및 기타 수산물,,101.0,161.0,0.0,0.15,19.55,1.3,2,원재료성식품
보리밥,밥류,280.0,118.0,2.0,0.03,25.78,2.26,0.18,5,음식
보리밥 열매,과일류,,354.0,,,68.5,18.5,1.3,1,원재료성식품
보리차,차류,,0.0,1.0,0.0,0.07,0.0,0.0,1,원재료성식품
보신탕,찌개 및 전골류,600.0,42.0,65.0,0.53,2.12,3.0,2.68,1,음식
보쌈김치,김치류,69.9,47.0,1935.0,2.27,6.64,2.5,1.4,3,음식
보이차,차류,,0.0,2.0,0.05,0.0,0.12,0.0,1,원재료성식품
복 매운탕,찌개 및 전골류,600.0,31.0,228.0,0.58,2.25,5.1,0.39,1,음식
복류,어패류 및 기타 수산물,,85.0,82.0,0.2,0.4,19.3,0.3,11,원재료성식품
복분자,과일류,,88.0,4.0,8.06,17.96,1.52,2.2,1,원재료성식품
복숭아,과일류,,49.0,1.0,9.37,12.11,0.67,0.14,4,원재료성식품
복숭아씨기름,유지류,,911.0,13.0,,0.3,0.5,98.9,1,원재료성식품
복숭아홍차,음료 및 차류,,31.0,1.0,7.35,,0.0,,6,음식
복어튀김,튀김류,79.5,298.5,1059.0,0.31,18.21,21.67,14.82,2,음식
복죽,죽 및 스프류,259.0,107.0,154.0,0.01,16.84,2.7,2.73,1,음식
복지리,찌개 및 전골류,600.0,30.0,209.0,0.35,1.49,5.6,0.31,1,음식
복찜,찜류,510.0,36.0,137.0,0.87,4.11,3.55,0.92,1,음식
복합조미식품,조미식품,180.0,260.0,5452.0,11.0,43.04,8.63,2.86,1287,가공식품
볶음 우동,면 및 만두류,487.9,69.5,309.5,0.16,8.05,2.7,2.75,4,음식
볶음/비빔라면,면류,130.0,408.0,993.0,7.62,62.66,7.5,14.12,304,가공식품
볶음면,면 및 만두류,470.0,190.0,367.0,3.86,13.81,6.55,12.1,1,음식
볶음밥,밥류,340.0,164.0,178.0,0.78,21.6,4.86,2.83,59,음식
볼기우럭,어패류 및 기타 수산물,,129.0,,0.0,0.0,18.7,5.3,1,원재료성식품
볼락 매운탕,찌개 및 전골류,356.2,30.0,191.0,1.27,2.87,3.5,0.52,1,음식
볼락류,어패류 및 기타 수산물,,104.5,93.0,0.05,0.0,19.51,2.07,26,원재료성식품
부대찌개,찌개 및 전골류,600.0,68.0,368.0,1.03,6.77,4.83,3.1,9,음식
부세,어패류 및 기타 수산물,,135.5,53.0,0.0,0.0,17.91,6.33,2,원재료성식품
부시리,어패류 및 기타 수산물,,109.0,,0.1,0.1,22.3,1.5,1,원재료성식품
부지갱이(섬쑥부쟁이),채소류,,48.0,13.0,0.91,8.24,5.17,0.68,5,원재료성식품
부추,채소류,,27.0,1.5,2.04,5.52,1.93,0.28,8,원재료성식품
부추 겉절이,생채·무침류,50.0,23.5,160.0,1.58,3.51,1.3,0.94,2,음식
부추 채소무침,생채·무침류,50.0,22.0,171.0,2.24,4.01,1.1,0.67,1,음식
부추 초무침,생채·무침류,50.0,23.0,187.0,1.76,3.66,1.1,0.78,3,음식
부추김치,김치류,100.0,47.0,781.0,3.23,6.36,2.8,1.16,5,음식
부추나물,나물·숙채류,50.0,18.0,137.0,0.89,1.99,1.2,0.88,3,음식
부추무침,생채·무침류,95.4,30.0,204.0,2.31,4.43,1.25,1.12,14,음식
부추잡채,볶음류,86.5,75.0,177.0,2.71,3.89,4.9,4.36,3,음식
부추전,전·적 및 부침류,94.7,191.0,279.5,2.14,26.7,6.09,6.91,6,음식
부침가루/튀김가루/믹스,농산가공식품류,500.0,361.0,506.0,2.3,75.0,9.0,1.9,345,가공식품
북어강정,튀김류,32.1,379.0,1753.0,7.38,28.5,19.22,22.07,5,음식
북어구이,구이류,41.2,287.0,932.0,3.15,10.53,46.5,5.91,2,음식
